title,artist,query,spotify_id
Never Enough,Loren Allred,artist:loren track:never enough,0Gl5s8IhMmQE5YQwM8Qx1J
My Dawg,Lil Baby,artist:lil track:my dawg,49K3jbwZmZKaDGTfjpIVg0
I'll Name The Dogs,Blake Shelton,artist:blake track:i'll name the dogs,2n5ZD87XQ2yvIxGjoYbUmZ
Rock,Plies,artist:plies track:rock,4GXM7RnKwrWwDuM8KCb1Gp
Female,Keith Urban,artist:keith track:female,3Ze8nX7ZYOnAgf8A1hDQQ9
The Weekend,SZA,artist:sza track:the weekend,6gU9OKjOE7ghfEd55oRO57
The Champion,Carrie Underwood Featuring Ludacris,artist:carrie track:the champion,0stPNUkU1LZnvxIcfrKnEZ
Silence,Marshmello Featuring Khalid,artist:marshmello track:silence,7vGuf3Y35N4wmASOKLUVVU
My My My!,Troye Sivan,artist:troye track:my my my!,71T7xF5wLbDRg76jxAwDqA
Tequila,Dan + Shay,artist:dan track:tequila,7Il2yWQmsqKgSkLQvHTPUI
Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian","artist:farruko, track:krippy kush",7FfpP3YZ6fOWMdxkIAtud9
...Ready For It?,Taylor Swift,artist:taylor track:...ready for it?,2yLa0QULdQr0qAIvVwN6B5
El Bano,Enrique Iglesias Featuring Bad Bunny,artist:enrique track:el bano,2vvdTrdryjsl8DmPIMDWZU
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,artist:luis track:despacito,6rPO02ozF3bM7NnOV4h6s2
That's What I Like,Bruno Mars,artist:bruno track:that's what i like,0KKkJNfGyhkQ5aFogxQAPU
I Could Use A Love Song,Maren Morris,artist:maren track:i could use a love song,09iyGiljLWRYXdRazFkdtJ
For You (Fifty Shades Freed),Liam Payne & Rita Ora,artist:liam track:for you ,4ESIYCrLnFoUd1mVbISDot
I Miss You,Clean Bandit Featuring Julia Michaels,artist:clean track:i miss you,2xmrfQpmS2iJExTlklLoAL
Too Much To Ask,Niall Horan,artist:niall track:too much to ask,39jXnbACjiaiTwwhsr5sY5
Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",artist:machine track:home,0OI7AFifLSoGzpb8bdBLLV
Juice,Yo Gotti,artist:yo track:juice,1psC5iHzQxaTMZ5dWGfM6I
What About Us,P!nk,artist:p!nk track:what about us,0Qh38w01QRXK6KHIv0e3hb
Look What You Made Me Do,Taylor Swift,artist:taylor track:look what you made me do,1P17dC1amhFzptugyAO7Il
Light It Up,Luke Bryan,artist:luke track:light it up,5w3NgfV8v1nNZFLUBlGHIL
Dusk Till Dawn,Zayn Featuring Sia,artist:zayn track:dusk till dawn,1j4kHkkpqZRBwE0A4CN4Yv
When We,Tank,artist:tank track:when we,2HWelwHQS4EdRqIycZOc3O
Wanted You,NAV Featuring Lil Uzi Vert,artist:nav track:wanted you,790MhTXPFrYkrqCKvpg4t1
F**k Love,XXXTentacion Featuring Trippie Redd,artist:xxxtentacion track:fk love,
All I Want For Christmas Is You,Mariah Carey,artist:mariah track:all i want for christmas is you,0bYg9bo50gSsH3LtXe2SQn
Rockin' Around The Christmas Tree,Brenda Lee,artist:brenda track:rockin' around the christmas tree,28fuXrmmF9dYWx25dMW9dP
It's The Most Wonderful Time Of The Year,Andy Williams,artist:andy track:it's the most wonderful time of the year,5hslUAKq9I9CG2bAulFkHN
The Christmas Song (Merry Christmas To You),Nat King Cole,artist:nat track:the christmas song ,1l2CvcIAL1MtPbtZhh0Z77
A Holly Jolly Christmas,Burl Ives,artist:burl track:a holly jolly christmas,33BcB8XVwJU4qB7bDSkVya
The Race,Tay-K,artist:tay-k track:the race,3wGXyJGsCf1myH5MooQIqE
Eye 2 Eye,Huncho Jack Featuring Takeoff,artist:huncho track:eye 2 eye,4vwfOiyWxXeEdx4ejAJgdx
Modern Slavery,Huncho Jack,artist:huncho track:modern slavery,7J6bnDDitOwfelaJNixHhL
Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid,artist:imagine track:thunder/young dumb & broke ,7ER7vcy7u2ajg5IV45WBFw
Black & Chinese,Huncho Jack,artist:huncho track:black & chinese,628Ueb4sRiXApObhcU9iPU
Dubai Shit,Huncho Jack Featuring Offset,artist:huncho track:dubai shit,6urLjX35oXXRYtcH1b3dCh
Huncho Jack,Huncho Jack,artist:huncho track:huncho jack,5vuiHi3QYbwcm1OKJOYnrf
Motorcycle Patches,Huncho Jack,artist:huncho track:motorcycle patches,7g7raxdQpiLZT7aOlib4S1
Saint,Huncho Jack,artist:huncho track:saint,7foypmc7KZyU716Yv63BPe
Walk On Water,Eminem Featuring Beyonce,artist:eminem track:walk on water,7CcoUAtUcYhUfBsmtn0ajO
Last Christmas,Wham!,artist:wham! track:last christmas,2FRnf9qhLbvw8fu4IBXx78
Humble.,Kendrick Lamar,artist:kendrick track:humble.,7KXjTSCq5nL1LoYtL7XAwS
There's Nothing Holdin' Me Back,Shawn Mendes,artist:shawn track:there's nothing holdin' me back,7JJmb5XwzOO8jgpou264Ml
Go Legend,Big Sean & Metro Boomin Featuring Travis Scott,artist:big track:go legend,3wAI7MIQtTgwcRmwchPZBc
When It Rains It Pours,Luke Combs,artist:luke track:when it rains it pours,1mMLMZYXkMueg65jRRWG1l
Unforgettable,Thomas Rhett,artist:thomas track:unforgettable,30MM5jWpUmOxtTNd9Ey5LZ
Dark Knight Dummo,Trippie Redd Featuring Travis Scott,artist:trippie track:dark knight dummo,3YeJXuRSNS5FYwOsDu44kD
Pull Up N Wreck,Big Sean & Metro Boomin Featuring 21 Savage,artist:big track:pull up n wreck,7DuvVy7JfFgXwWlVzyyPys
Danger,Migos & Marshmello,artist:migos track:danger,0nhVrTiCGiGRCoZOJiWzm1
Untouchable,Eminem,artist:eminem track:untouchable,6IvespQWGW4USXwexlVKDm
Ghostface Killers,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",artist:21 track:ghostface killers,5u6vkDnOyaf8LsteDAj2ub
Jocelyn Flores,XXXTentacion,artist:xxxtentacion track:jocelyn flores,7m9OqQk4RVRkw9JJdeAw96
Faking It,Calvin Harris Featuring Kehlani & Lil Yachty,artist:calvin track:faking it,0pJPdSVti6cTM1Q6xYGmcf
Congratulations,Post Malone Featuring Quavo,artist:post track:congratulations,3a1lNhkSLSkpJE4MSHpDu9
Love So Soft,Kelly Clarkson,artist:kelly track:love so soft,16QN8cBubEq706vNtPpOME
Transportin',Kodak Black,artist:kodak track:transportin',1WIZiOuNO3woKfdlSK2gNn
Ask Me How I Know,Garth Brooks,artist:garth track:ask me how i know,
Bella y Sensual,Romeo Santos Featuring Nicky Jam & Daddy Yankee,artist:romeo track:bella y sensual,0ERbK7qVqveCaBWIiYCrl3
Criminal,Natti Natasha x Ozuna,artist:natti track:criminal,6Za3190Sbw39BBC77WSS1C
Sauce It Up,Lil Uzi Vert,artist:lil track:sauce it up,1uL78kFWxhz3umTMWJu8n5
Rake It Up,Yo Gotti Featuring Nicki Minaj,artist:yo track:rake it up,4knL4iPxPOZjQzTUlELGSY
Praying,Kesha,artist:kesha track:praying,79NlESqzFSW0hdBWgls4FX
Strip That Down,Liam Payne Featuring Quavo,artist:liam track:strip that down,4Ro98RCK90oHqqSZUnTFq5
Do Re Mi,Blackbear,artist:blackbear track:do re mi,3Q3myFA7q4Op95DOpHplaY
Slow Hands,Niall Horan,artist:niall track:slow hands,27vTihlWXiz9f9lJM3XGVU
Fix A Drink,Chris Janson,artist:chris track:fix a drink,0s6OWiWGuiCcm1Muzch5A8
It's Everyday Bro,Jake Paul Featuring Team 10,artist:jake track:it's everyday bro,4l62h4tiuUwn7eD6hxMlVQ
Go Flex,Post Malone,artist:post track:go flex,5yuShbu70mtHXY0yLzCQLQ
Total Eclipse Of The Heart,Chloe Kohanski,artist:chloe track:total eclipse of the heart,1pFkLWesh2zpoFTs2g4SFt
Perro Fiel,Shakira Featuring Nicky Jam,artist:shakira track:perro fiel,70lnL3QaSOIIyMa2X9aVRL
Awful Things,Lil Peep,artist:lil track:awful things,7Hr2XoaGpIMKbNXCZDZ3le
Relationship,Young Thug Featuring Future,artist:young track:relationship,25oOaleife6E2MIKmFkPvg
Every Little Thing,Carly Pearce,artist:carly track:every little thing,2wxfu24GQpEZQrjDJm5Ac1
Glorious,Macklemore Featuring Skylar Grey,artist:macklemore track:glorious,0CokSRCu5hZgPxcZBaEzVE
Questions,Chris Brown,artist:chris track:questions,5XQMr19TL7Mfksq9zihbOu
The Rest Of Our Life,Tim McGraw & Faith Hill,artist:tim track:the rest of our life,19P6cJstaoQJHtHW3HOGcg
What Ifs,Kane Brown Featuring Lauren Alaina,artist:kane track:what ifs,7zVCrzzEJU7u24sbJPXA5W
XO TOUR Llif3,Lil Uzi Vert,artist:lil track:xo tour llif3,7GX5flRQZVHRAGd6B4TmDO
Something Just Like This,The Chainsmokers & Coldplay,artist:  track:something just like this,3hnAyWoWm22uCS150B3O7Y
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,artist:goldlink track:crew,15EPc80XuFrb2LmOzGjuRg
Call It What You Want,Taylor Swift,artist:taylor track:call it what you want,1GwMQaZz6Au3QLDbjbMdme
Rap Saved Me,"21 Savage, Offset & Metro Boomin Featuring Quavo",artist:21 track:rap saved me,0tdCy39PgWN8LFWu34ORn3
Gorgeous,Taylor Swift,artist:taylor track:gorgeous,1ZY1PqizIl78geGM4xWlEA
Smooth,Florida Georgia Line,artist:florida track:smooth,31x4wWBghN7f5PiEZUmcAW
The Plan,G-Eazy,artist:g-eazy track:the plan,7fOPVfABNLg3sxtgXBhBdp
Patek Water,Future & Young Thug Featuring Offset,artist:future track:patek water,7r6LNJT2LqpLpEyZQJPygt
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,artist:dj track:wild thoughts,45XhKYRRkyeqoW3teSOkCM
Body Like A Back Road,Sam Hunt,artist:sam track:body like a back road,7mldq42yDuxiUNn08nvzHO
My Choppa Hate N****s,21 Savage & Metro Boomin,artist:21 track:my choppa hate ns,
Pray,Sam Smith,artist:sam track:pray,59ljpSFcgtfWJKS3vqG27R
Mad Stalkers,"21 Savage, Offset & Metro Boomin",artist:21 track:mad stalkers,6HR1z11h0ROUlWP4Kx8Z7G
Nightmare,Offset & Metro Boomin,artist:offset track:nightmare,7LAhKXDNWwq3CmnFP3UIOP
Location,Khalid,artist:khalid track:location,152lZdxL1OR0ZMW6KquMif
Heartache On The Dance Floor,Jon Pardi ,artist:jon track:heartache on the dance floor,0w3Q14i073jLoew1hgJkwD
B.E.D.,Jacquees,artist:jacquees track:b.e.d.,21QaCM5SdwjGbAimqJUnmC
Too Hotty,"Quavo, Takeoff & Offset","artist:quavo, track:too hotty",
All The Pretty Girls,Kenny Chesney,artist:kenny track:all the pretty girls,66pxmg3Jhjm09tHoWR1wVR
More Girls Like You,Kip Moore,artist:kip track:more girls like you,73WWkaWkIRSP3MYGZ14aY4
High End,Chris Brown Featuring Future & Young Thug,artist:chris track:high end,2XdgSB4TtzUHQYCMfSHbFI
Love Galore,SZA Featuring Travis Scott,artist:sza track:love galore,0q75NwOoFiARAVp4EXU4Bs
Butterfly Effect,Travis Scott,artist:travis track:butterfly effect,1yxgsra98r3qAtxqiGZPiX
No Cap,Future & Young Thug,artist:future track:no cap,06Gyf2pFDVmN5K8XAawG96
Feed Me Dope,Future,artist:future track:feed me dope,3lyeSiAIdLoZUHhV8psOTI
Escapate Conmigo, Wisin Featuring Ozuna,artist:wisin track:escapate conmigo,1KSqYYJFyfTecXFk9M0prc
All Da Smoke,Future & Young Thug,artist:future track:all da smoke,1wWRtPIKD7ZNvtsrzLyTev
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",artist:2 track:it's a vibe,6H0AwSQ20mo62jGlPGB8S6
4 Da Gang,Future,artist:future track:4 da gang,3IJ6BBFLD2I2CH3hHFQj3O
Friends,Justin Bieber + BloodPop,artist:justin track:friends,7iNIg7XDEaYECfWD5dJ9Va
Bedroom Floor,Liam Payne,artist:liam track:bedroom floor,1OG4nxGMy72EklX2DwcN3Z
Three,Future & Young Thug,artist:future track:three,4W598w0KcHVG5Nwqk0qMpj
Say You Won't Let Go,James Arthur,artist:james track:say you won't let go,5uCax9HTNlzGybIStD3vDh
No Promises,Cheat Codes Featuring Demi Lovato,artist:cheat track:no promises,5lNuqFVMca4vPupY10cH0J
Small Town Boy,Dustin Lynch,artist:dustin track:small town boy,2YMhrXQYKkm4kXLcXKKd5z
Curve,Gucci Mane Featuring The Weeknd,artist:gucci track:curve,2yuyaYAELoMG4ApV5wJsWR
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",artist:calvin track:feels,5bcTCxgc7xVfSaMV3RuVke
Stunting Ain't Nuthin,Gucci Mane Featuring Slim Jxmmi & Young Dolph,artist:gucci track:stunting ain't nuthin,17DjWsC0G9YQtAiepG3c5v
They Don't Know,Jason Aldean,artist:jason track:they don't know,3bzE57iNavJJxXL9GgBiOK
Do I Make You Wanna,Billy Currington,artist:billy track:do i make you wanna,3I7krC8kr0gFR7P6vInR1I
Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico,artist:lin-manuel track:almost like praying,3dskm5fAe8OkBtM9E0VVWx
Loyalty.,Kendrick Lamar Featuring Rihanna,artist:kendrick track:loyalty.,6SwRhMLwNqEi6alNPVG00n
Dear Hate,Maren Morris Featuring Vince Gill,artist:maren track:dear hate,7zOoHxDt1duHL8czY7o7ab
No Promises,A Boogie Wit da Hoodie,artist:a track:no promises,2BJpuAoDeQ1QuPvnryfAWK
Say A',A Boogie Wit da Hoodie,artist:a track:say a',3AMnOVxEHUgVrythGgqPhI
DNA,BTS,artist:bts track:dna,5SE57ljOIUJ1ybL9U6CuBH
Redbone,Childish Gambino,artist:childish track:redbone,3kxfsdsCpFgN412fpnW85Y
Hi Bich,Bhad Bhabie,artist:bhad track:hi bich,5JW8njiQorZ7m2VHYddTt6
Undefeated,A Boogie Wit da Hoodie Featuring 21 Savage,artist:a track:undefeated,2vaMWMPMgsWX4fwJiKmdWm
Beast Mode,A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,artist:a track:beast mode,1AH60dMaEfNjzDoUIFwIQi
It Ain't My Fault,Brothers Osborne,artist:brothers track:it ain't my fault,08wJ1B9yu9sPeoRa5fbpr3
No Such Thing As A Broken Heart,Old Dominion,artist:old track:no such thing as a broken heart,0OlS52TmtK2gPaEtdmr7DN
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,artist:meek track:whatever you need,6yMxfx9wpiuhhdb8vHDVMu
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",artist:dj track:i'm the one,1jYiIOC5d6soxkJP81fxq2
Stay,Zedd & Alessia Cara,artist:zedd track:stay,6uBhi9gBXWjanegOb2Phh0
Felices Los 4,Maluma,artist:maluma track:felices los 4,0qYTZCo5Bwh1nsUFGZP3zn
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,artist:louis track:back to you,7F9vK8hNFMml4GtHsaXui6
Fetish,Selena Gomez Featuring Gucci Mane,artist:selena track:fetish,4lnAN2S1fcI0SjxEbksZVr
Wish I Knew You,The Revivalists,artist:  track:wish i knew you,
Mask Off,Future,artist:future track:mask off,0VgkVdmE4gld66l8iyGjgx
Homemade Dynamite,"Lorde Featuring Khalid, Post Malone & SZA",artist:lorde track:homemade dynamite,5u64RlrnvvbtNh6R0EMh6o
Drinkin' Problem,Midland,artist:midland track:drinkin' problem,1vBpwxsLVwaR4evBIaFmqD
Everybody Dies In Their Nightmares,XXXTentacion,artist:xxxtentacion track:everybody dies in their nightmares,3GVkPk8mqxz0itaAriG1L7
These Heaux,Bhad Bhabie,artist:bhad track:these heaux,6SUxrwVN19Kmd9JfIbjJUj
No Complaints,Metro Boomin Featuring Offset & Drake,artist:metro track:no complaints,6kig1UFggPUyZBCvXD3Wod
Magnolia,Playboi Carti,artist:playboi track:magnolia,1e1JKLEDKP7hEQzJfNAgPl
Found You,Kane Brown,artist:kane track:found you,4iLeL1aYGcQBsYcWIhXIUO
Versace On The Floor,Bruno Mars,artist:bruno track:versace on the floor,0kN8xEmgMW9mh7UmDYHlJP
Swish Swish,Katy Perry Featuring Nicki Minaj,artist:katy track:swish swish,2y6vf5vYJFow4oABKSW1m3
444+222,Lil Uzi Vert,artist:lil track:444+222,1QgTBfRN5m81a5K01qens6
My Girl,Dylan Scott,artist:dylan track:my girl,3izNaTiYdotdPL0Bs76JqO
Most Girls,Hailee Steinfeld,artist:hailee track:most girls,10GJQkjRJcZhGTLagFOC62
Dark Queen,Lil Uzi Vert,artist:lil track:dark queen,2ZdCrBA52bb4pIG3tOOZiQ
X,Lil Uzi Vert,artist:lil track:x,5tRmoZRoupvMYPV1oezFrH
Neon Guts,Lil Uzi Vert Featuring Pharrell Williams,artist:lil track:neon guts,1MJErNPIQUoEMu4YUUmecm
Revenge,XXXTentacion,artist:xxxtentacion track:revenge,5TXDeTFVRVY7Cvt0Dw4vWW
Somebody Else Will,Justin Moore,artist:justin track:somebody else will,3n2A6l4UayVe3GGKCvfQWV
Reminder,The Weeknd,artist:  track:reminder,
No Fear,DeJ Loaf,artist:dej track:no fear,2H881m3JRA8lpuuwaQL6zy
It Ain't Me,Kygo x Selena Gomez,artist:kygo track:it ain't me,12GEpg2XOPyqk03JZEZnJs
DNA.,Kendrick Lamar,artist:kendrick track:dna.,6HZILIRieu8S0iqY8kIKhj
Two,Lil Uzi Vert,artist:lil track:two,0v9Wz8o0BT8DU38R4ddjeH
